PropertyID,City,PropertyType,Price,Rent,Area,Bedrooms,DemandIndex,SupplyIndex,Date
P001,Bangalore,Apartment,7500000,25000,1200,2,85,60,2023-01-10
P002,Bangalore,Villa,15000000,45000,2400,4,80,55,2023-02-15
P003,Mumbai,Apartment,12000000,40000,1100,3,90,50,2023-03-20
P004,Delhi,Apartment,9000000,30000,1300,3,75,65,2023-04-12
P005,Hyderabad,House,8000000,26000,1400,3,70,60,2023-05-08
P006,Chennai,Apartment,7000000,22000,1150,2,65,70,2023-06-18
P007,Bangalore,Apartment,8200000,27000,1250,3,88,58,2023-07-21
P008,Mumbai,Villa,20000000,60000,3000,5,92,45,2023-08-11
P009,Delhi,House,9500000,32000,1500,3,78,62,2023-09-09
P010,Hyderabad,Apartment,7200000,23000,1100,2,74,68,2023-10-05
P011,Chennai,House,7800000,24000,1350,3,69,66,2023-11-12
P012,Bangalore,Villa,17000000,50000,2600,4,83,52,2023-12-01
P013,Mumbai,Apartment,12500000,42000,1200,3,91,48,2024-01-15
P014,Delhi,Apartment,8800000,29000,1280,2,76,64,2024-02-10
P015,Hyderabad,House,8300000,27000,1450,3,73,67,2024-03-05
P016,Chennai,Apartment,7100000,22500,1180,2,68,69,2024-04-09
P017,Bangalore,Apartment,8400000,28000,1300,3,86,57,2024-05-14
P018,Mumbai,Villa,21000000,65000,3200,5,94,43,2024-06-18
P019,Delhi,House,9800000,33000,1550,3,79,61,2024-07-22
P020,Hyderabad,Apartment,7400000,24000,1120,2,72,70,2024-08-16
